Year,SweepCount,TentCount,StructureCount,VehicleCount
2008,29,0,0,0
2009,21,0,0,0
2010,44,0,0,0
2011,68,0,0,0
2012,86,0,0,0
2013,193,0,0,0
2014,226,0,0,0
2015,198,0,0,0
2016,696,0,0,0
2017,500,1602,400,134
2018,484,2113,365,333
2019,977,2515,467,62
2020,251,426,81,1
2021,53,352,0,0
2022,924,843,0,0
2023,2205,1638,304,193
2024,2504,4147,36,38
2025,1259,2068,0,2
